name,min,max,scale,value
p_wn_in,2e-6,20e-6,1e-6,8e-6
p_ln_in,0.15e-6,2e-6,0.1e-6,0.5e-6
p_wp_load,2e-6,20e-6,1e-6,8e-6
p_lp_load,0.5e-6,8e-6,0.5e-6,4e-6
p_wn_tail,1e-6,10e-6,0.5e-6,2e-6
p_ln_tail,1e-6,8e-6,0.5e-6,4e-6
p_wp_2nd,4e-6,40e-6,2e-6,20e-6
p_lp_2nd,0.15e-6,2e-6,0.1e-6,0.5e-6
p_wn_2nd,2e-6,20e-6,1e-6,4e-6
p_ln_2nd,0.5e-6,8e-6,0.5e-6,4e-6
p_cc,0.25e-12,5e-12,0.25e-12,0.5e-12
p_ibias,1e-6,10e-6,0.5e-6,3e-6
p_cap_s,1e-12,200e-12,1e-12,200e-12
p_cap_i,1e-12,200e-12,1e-12,200e-12
mod_order,2,3,1,3
osr,128,2048,128,2048
f_clk,1e6,20e6,0.5e6,10.24e6
coeff_a1,0.01,0.5,0.01,0.08
coeff_a2,0.1,1.0,0.05,0.4
coeff_a3,0.2,1.5,0.1,0.9
coeff_b1,0.01,0.5,0.01,0.08
vref_p,1.5,1.8,0.1,1.7
vref_n,0.0,0.3,0.1,0.1
